Term name,Parent Term Name,Term description,GUID,Parent GUID
Yuennanina,,,e34e5a99-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Xiphidiogonus,,,e34f8f3a-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Xenosoma,,,e34fcb26-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Xanthodesmus,,,e3434d47-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Wubidesmus,,,e34f923a-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Walesoma,,,e351c7de-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Vaulogerodesmus,,,e342cd17-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Varyomorpha,,,e35064c6-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tropisoma,,,e34a128c-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Trogodesmus,,,e3541f74-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tridactylogonus,,,e34f018f-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Trachydesmus,,,e34668ea-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Touranella,,,e34e2626-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tonkinosoma,,,e354d242-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Titschackia,,,e34b27ea-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tholerosoma,,,e34f4582-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Thalatthipurus,,,e35068d7-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tetrarthrosoma,,,e34592e9-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tetracentrosternus,,,e349fefb-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Telodrepanum,,,e354f0e7-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Tectoporus,,,e3468f9a-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Suohelisoma,,,e3550762-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Sundaninella,,,e34b3228-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Sundanina,,,e343f6ba-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Sumatreonina,,,e3550f26-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Substrongylosoma,,,e3506da4-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Stygiochiropus,,,e3506c3d-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Strongylosoma,,,e3126e69-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Streptogonopus,,,e344b584-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Streptocladosoma,,,e34eb961-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
